scene_id,beat_index,shot_index,asset_path,asset_source,asset_title,query_used,shot_duration_s,narration_duration_s,camera_motion,transition,timeline_start_s,timeline_end_s,verified
0,0,0,results/mars__the_red_planet/shots/scene0_0.mp4,nasa,Mastcam-Z Looks at Its Calibration Target,Mars planet full disk NASA,5.5,10.39,reveal,fade,0.0,5.5,True
0,0,1,results/mars__the_red_planet/shots/scene0_1.mp4,wikimedia,File:Rapid Weather Changes Observed on Mars (1997-24-493).tiff,Mars planet full disk NASA,5.5,10.39,push_in,crossfade,5.5,11.0,True
1,0,0,results/mars__the_red_planet/shots/scene1_0.mp4,wikimedia,"File:Lander, Mars, Viking, Proof Test Article - DPLA - 0e40e7ad805e7f7a7b655246c87c2827 (page 4).jpg",Mariner 4 first Mars flyby 1965,5.5,17.0,pan_right,fade,10.39,15.89,True
1,0,1,results/mars__the_red_planet/shots/scene1_1.mp4,wikimedia,File:First Image from Mariner 4 - GPN-2003-00060.jpg,Mars first image 1964,5.5,17.0,pull_out,crossfade,15.89,27.39,True
2,0,0,results/mars__the_red_planet/shots/scene2_0.mp4,nasa,Could This Be the Mars Soviet 3 Lander?,Mars 3 lander 1971 Soviet,5.5,13.59,push_in,fade,27.39,32.89,True
2,0,1,results/mars__the_red_planet/shots/scene2_1.mp4,nasa,Closing Window,Mars dust storm surface,5.5,13.59,reveal,crossfade,32.89,40.98,True
3,0,0,results/mars__the_red_planet/shots/scene3_0.mp4,nasa,Ingenuity Mars Helicopter's Record-Breaking Flight,Ingenuity helicopter flight Mars,5.5,15.42,tracking,fade,40.98,46.48,True
3,0,1,results/mars__the_red_planet/shots/scene3_1.mp4,nasa,Mars Curiosity Wheel Mock-up,Curiosity,5.5,15.42,orbit,crossfade,46.48,56.41,True
4,0,0,results/mars__the_red_planet/shots/scene4_0.mp4,wikimedia,File:Olympus Mons alt.jpg,Olympus Mons volcano Mars,5.5,16.7,parallax,fade,56.41,61.91,True
4,0,1,results/mars__the_red_planet/shots/scene4_1.mp4,nasa,Valles Marineris Canyon,Valles Marineris canyon,5.5,16.7,crane_up,crossfade,61.91,73.11,True
